iter	Passed	Remaining
403	9205	2187
404	9227	2164
405	9251	2141
406	9273	2119
407	9297	2096
408	9320	2073
409	9342	2050
410	9365	2028
411	9387	2005
412	9409	1982
413	9432	1959
414	9454	1936
415	9477	1913
416	9501	1891
417	9527	1869
418	9550	1846
419	9572	1823
420	9595	1800
421	9618	1777
422	9641	1754
423	9663	1732
424	9686	1709
425	9710	1686
426	9734	1664
427	9757	1641
428	9780	1618
429	9803	1595
430	9826	1573
431	9850	1550
432	9873	1527
433	9897	1505
434	9920	1482
435	9944	1459
436	9968	1437
437	9991	1414
438	10014	1391
439	10040	1369
440	10062	1346
441	10086	1323
442	10110	1300
443	10138	1278
444	10161	1255
445	10186	1233
446	10210	1210
447	10234	1187
448	10257	1165
449	10281	1142
450	10304	1119
451	10327	1096
452	10350	1073
453	10373	1051
454	10398	1028
455	10421	1005
456	10444	982
457	10469	960
458	10500	937
459	10523	915
460	10556	893
461	10578	870
462	10601	847
463	10623	824
464	10646	801
465	10668	778
466	10690	755
467	10715	732
468	10740	709
469	10763	687
470	10787	664
471	10810	641
472	10833	618
473	10856	595
474	10881	572
475	10905	549
476	10928	526
477	10950	503
478	10972	481
479	10994	458
480	11017	435
481	11041	412
482	11063	389
483	11085	366
484	11108	343
485	11132	320
486	11156	297
487	11181	274
488	11211	252
489	11235	229
490	11259	206
491	11284	183
492	11308	160
493	11333	137
494	11359	114
495	11385	91
496	11410	68
497	11436	45
498	11461	22
499	11494	0
